ID,Title,URL,Content,Date,Type,PDF URL,Embedded,,,,,,,,Firebase Upload,Firebase Storage Upload,,Firebase Meta Data Upload,Firebase Storage Upload
434519,How Can Collaboration Drive Fair Pay for Women in the Garment Sector,https://businessfightspoverty.org/how-can-collaboration-drive-fair-pay-for-women-in-the-garment-sector,"How Can Collaboration Drive Fair Pay for Women in the Garment Sector? Hosted with Primark Gain an insider’s perspective on a pilot project which collected wage data and measured gender pay gaps in garment supply chains. Hear from Primark and the Fair Labor Association as they discuss the challenges, key lessons, and successes from this pioneering initiative. Learn practical strategies for identifying gender pay gaps and pursuing living wages for all factory workers.",2025-03-20 11:59:20,Insights,https://businessfightspoverty.org/wp-content/uploads/2025/03/Fair-Pay-for-Women-in-the-Garment-Sector.pdf,✅,,Progress:,100%,,,,,uploaded,uploaded,Progress,100.00%,100.00%
434421,Women’s Equality in the New and Evolving EU Regulatory Landscape,https://businessfightspoverty.org/insight/womens-equality-in-the-new-and-evolving-eu-regulatory-landscape/,"How Can We Report on Women’s Equality in the New and Evolving EU Regulatory Landscape? Hosted with Work and Opportunities for Women (WOW), a programme of the Foreign, Commonwealth and Development Office (FCDO) The FCDO’s Work and Opportunities for Women Programme explores how companies can report on women’s economic empowerment activities within the landscape of current and emerging EU sustainability reporting regulations. A panel of experts share insights from WOW’s recent analysis on how gender-focused activities can be reported in line with regulations such as CSRD, CSDDD, SFRD and EUDR. Attendees discussed their experience of these regulations, and the challenges they have faced from a gender-reporting perspective.",2025-03-18 11:18:19,Insights,https://businessfightspoverty.org/wp-content/uploads/2025/03/Womens-Equality-in-the-New-and-Evolving-EU-Regulatory-Landscape.pdf,✅,,,,,,,,uploaded,uploaded,,,
434415,Businesses and NGOs Partner to Help Smallholder Farmers Tackle the Intersections,https://businessfightspoverty.org/businesses-and-ngos-partner-to-help-smallholder-farmers-tackle-the-intersections,"How can businesses and NGOs partner to help smallholder farmers tackle the intersections of climate change and gender inequality? Hosted with Diageo This Insights Paper explores how to optimise the outcomes of smallholder farmer initiatives for business and society. Based from an interactive dialogue on how to design programmes at the intersection between climate change and gender inequality that support shared resilience and growth. Diageo and CARE shared honest insights from their collaboration with smallholder farmers, grounding the discussion in their latest case study and practical experiences.",2025-03-18 11:13:43,Insights,https://businessfightspoverty.org/wp-content/uploads/2025/03/Businesses-and-NGOs-Partner-to-Help-Smallholder-Farmers.pdf,✅,,,,,,,,uploaded,uploaded,,,
434411,Advancing Outcome Based Finance for Social Impact,https://businessfightspoverty.org/advancing-outcome-based-finance-for-social-impact,"How Can Outcome-Based Finance Drive Business Value While Advancing Women’s Equality and Climate Action? Hosted with IFC This session looked at how we can advance women’s economic participation on a healthy planet. Outcome-based finance is unlocking investment for high-impact projects in clean cooking, renewable energy, and agribusiness. But how can we expand engagement beyond impact investors and governments to include businesses seeking both financial and social returns? This session explores the business case for outcome-based finance, emerging models, and strategies to scale investment that delivers social, environmental, and commercial benefits.",2025-03-18 11:06:42,Insights,https://businessfightspoverty.org/wp-content/uploads/2025/03/Outcome-Based-Finance-for-Social-Impact.pdf,✅,,,,,,,,uploaded,uploaded,,,
434409,"Business Building Bridges to a Fairer, More Resilient Future",https://businessfightspoverty.org/business-building-bridges-to-a-fairer-more-resilient-future,"How Can Business Build the Bridges to a Fairer, More Resilient Future? To tackle today’s biggest challenges, companies must break silos, align priorities, and connect with those most affected. This insights paper explores five critical bridges businesses must build to unlock both commercial and social value—helping to drive systemic change while strengthening long-term business resilience.",2025-03-18 10:28:15,Insights,https://businessfightspoverty.org/wp-content/uploads/2025/03/Building-Bridges.pdf,✅,,,,,,,,uploaded,uploaded,,,
434402,Navigating the DEI Pushback,https://businessfightspoverty.org/navigating-the-dei-pushback,"How can Businesses Navigate the DEI Pushback While Advancing Fairness and Opportunity? Amid growing scrutiny and debate around DEI, companies face challenges in maintaining their commitments while ensuring broad support. How can businesses design and communicate initiatives that uphold fairness and opportunity in the workplace? These insights explore practical strategies to sustain impact, build consensus, and navigate shifting expectations.",2025-03-17 16:25:14,Insights,https://businessfightspoverty.org/wp-content/uploads/2025/03/Navigating-the-DEI-Pushback.pdf,✅,,,,,,,,uploaded,uploaded,,,
434387,Community Forum Global Equity Summit 2025,https://businessfightspoverty.org/community-forum-global-equity-summit-2025,"How can Business Expand Opportunity and Fairness in the Workplace and Beyond? The Community Forum at the Business Fights Poverty Global Equity Summit explored critical approaches for businesses to enhance fairness and expand opportunities both within the workplace and beyond. Over 40 named contributors shared rich insights on four key themes: embedding gender equity deeply into organisational strategy and culture, providing systemic support for refugee entrepreneurs, improving authentic communication around diversity and inclusion, and supporting individuals across all forms of diversity comprehensively. Their collective wisdom has been distilled into seven key insights which can be accessed via the download button. A related session took place in parallel on the DEI pushback. You can access the summary of the DEI session [here].",2025-03-17 12:28:52,Insights,https://businessfightspoverty.org/wp-content/uploads/2025/03/Global-Equity-Summit-Community-Forum.pdf,✅,,,,,,,,uploaded,uploaded,,,
433497,Together for 2025,https://businessfightspoverty.org/business-impact-2025-priorities-actions,"Business as a Force for Good: Key Priorities and Actions for 2025 In January 2025, over 200 members of the Business Fights Poverty community came together for a virtual Community Forum, bringing a wealth of experience and fresh perspectives to explore some of the most pressing social and environmental challenges of our time. Over the course of the event, participants shared their insights, successes, and cautions, all framed by one central ambition: to identify the critical priorities, actions, and collaborations necessary to drive maximum social impact in the year ahead. Their collective wisdom has been distilled into seven key insights. Help share these valuable insights far and wide via this LinkedIn Post (click here)",2025-01-30 10:15:02,Insights,https://businessfightspoverty.org/wp-content/uploads/2025/01/Together-for-2025-Insights-Summary.pdf,✅,,,,,,,,uploaded,uploaded,,,
432882,Climate Justice Forum during COP29,https://businessfightspoverty.org/climate-justice-forum-during-cop29,"Prioritising People in Climate Strategies The Business Fights Poverty Climate Justice Community Forum during COP29 convened experts and community members to explore how businesses can embed people-centred approaches into climate action. This paper consolidates the key insights from the discussion, offering actionable recommendations to integrate social impact into climate strategies effectively.",2024-12-05 14:00:22,Insights,https://businessfightspoverty.org/wp-content/uploads/2024/12/Prioritising-people-in-climate-strategies.pdf,✅,,,,,,,,uploaded,uploaded,,,
431933,Driving ESG Innovation in the New Regulatory Context with Meta,https://businessfightspoverty.org/driving-esg-innovation-in-the-new-regulatory-context-with-meta,"Companies today face the challenge of maintaining ambitious social and environmental innovation while navigating an increasingly complex regulatory landscape. During a hybrid workshop hosted by Meta at the Business Fights Poverty Global Goals Summit, experts discussed strategies for businesses to remain committed to positive impact without letting compliance requirements hinder innovation. This summary highlights five key insights from the session, offering actionable guidance for businesses, governments, and civil society to collaborate effectively in advancing sustainable development goals while ensuring regulatory compliance. Speakers: PANELISTS: Amanda Gardiner, Head, ESG, Meta Lazaro Tiant, Sustainable Investment Research, Schroders Caroline Rees, President, Shift Alija Blackwell, #STMIC Fellow, New America and US National Lead Futures Methods From Around the World, School of International Futures (SOIF)",2024-10-11 11:42:38,Insights,https://businessfightspoverty.org/wp-content/uploads/2024/10/Driving-ESG-regulation.pdf,✅,,,,,,,,uploaded,uploaded,,,
