ID,Title,URL,Content,Date,Type,PDF URL,Embedded,,,,,,,,Firebase Upload,Firebase Storage Upload,,Firebase Meta Data Upload,Firebase Storage Upload
40013,Partnering for Impact: Supporting Systemic Change to Deliver the SDGs in Africa,https://businessfightspoverty.org/partnering-for-impact-supporting-systemic-change-to-deliver-the-sdgs-in-africa,,2014-07-01 00:00:00,Reports,https://drive.google.com/file/d/12rt2z6W_Fc0tN_MXsUfSseqtb_31AnYC/view?usp=drive_link,✅,,Progress:,99%,,,,,uploaded,uploaded,Progress,98.63%,98.63%
40018,New Africa: Nigeria - From Growth to Opportunity,https://businessfightspoverty.org/new-africa-nigeria-from-growth-to-opportunity,,2014-07-01 00:00:00,Reports,https://drive.google.com/file/d/1VTghEbMx773usk96ZfIukKQtxc627xA7/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
40019,A New Global Partnership with Business,https://businessfightspoverty.org/a-new-global-partnership-with-business,,2014-07-01 00:00:00,Reports,https://drive.google.com/file/d/1Tc-DBPRy5m8kRuZ7vNX6E208_6eVg_r0/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
40024,New Africa: From Growth to Jobs,https://businessfightspoverty.org/new-africa-from-growth-to-jobs,,2014-07-01 00:00:00,Reports,https://drive.google.com/file/d/11ULVcPu2YvTuP6HQKMYwRgYocn2BfEhs/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
40027,The New Africa: Emerging Opportunities for Business and Africa,https://businessfightspoverty.org/the-new-africa-emerging-opportunities-for-business-and-africa,,2014-07-01 00:00:00,Reports,https://drive.google.com/file/d/19Ag6UHCcsqc7uChjCDdik-TFpBgGzayA/view?usp=sharing,✅,,,,,,,,uploaded,uploaded,,,
40030,Business Partnerships for Development in Africa: Redrawing the Boundaries of Possibility,https://businessfightspoverty.org/business-partnerships-for-development-in-africa-redrawing-the-boundaries-of-possibility,,2014-07-01 00:00:00,Reports,https://drive.google.com/file/d/1nZYZQenhSdYEEQNsLuiK1S-82aYDIVaR/view?usp=sharing,✅,,,,,,,,uploaded,uploaded,,,
40033,MDGs at the Mid-Point: Accelerating Business-Led Growth and Collective Action,https://businessfightspoverty.org/mdgs-at-the-mid-point-accelerating-business-led-growth-and-collective-action,,2014-07-01 00:00:00,Reports,https://drive.google.com/file/d/1jZVoBZluuySAefxFtnsp62ogkZoiMNGr/view?usp=sharing,✅,,,,,,,,uploaded,uploaded,,,
40036,From Crisis to Opportunity: Harnessing the Power of Business to Sustain Momentum towards the MDGs,https://businessfightspoverty.org/from-crisis-to-opportunity-harnessing-the-power-of-business-to-sustain-momentum-towards-the-mdgs,,2014-07-01 00:00:00,Reports,https://drive.google.com/file/d/1N6BeWz5TBRnRV7c8Cc2Sm7F169Ge81US/view?usp=sharing,✅,,,,,,,,uploaded,uploaded,,,
40039,Sustaining and Scaling the Impact of Enterprise Development Programmes,https://businessfightspoverty.org/report/sustaining-and-scaling-the-impact-of-enterprise-development-programmes/,,2014-07-01 00:00:00,Reports,https://drive.google.com/file/d/1f03bYLnSC6PERIHQ1UQw0LcHp4ZKI1qe/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
40043,The Coca-Cola Company’s 5by20 Initiative,https://businessfightspoverty.org/the-coca-cola-companys-5by20-initiative,,2014-07-01 00:00:00,Reports,https://drive.google.com/file/d/13aB3EXq3o9Cp7LfPWD0-z8aWKGYJ0z5E/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
40044,Collaborating for Change in Sugar Production: Building Blocks for Sustainability at Scale,https://businessfightspoverty.org/collaborating-for-change-in-sugar-production-building-blocks-for-sustainability-at-scale,,2015-07-01 00:00:00,Reports,https://drive.google.com/file/d/1PbKVHNlBp4bglP6rBt61QjN5IB0mBL8Y/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
40091,Empowering Small Businesses in Corporate Value Chains: The Case of SABMiller&#8217;s 4e Camino al Progreso Program,https://businessfightspoverty.org/empowering-small-businesses-in-corporate-value-chains-the-case-of-sabmillers-4e-camino-al-progreso-program,,2015-07-01 00:00:00,Reports,https://drive.google.com/file/d/1UU_ky6Pw-g-D-7M11jS3ftBnn02-jXVc/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
400102,New Africa: Closing Africa&#8217;s Energy Gap,https://businessfightspoverty.org/new-africa-closing-africas-energy-gap,,2015-07-01 00:00:00,Reports,https://drive.google.com/file/d/1SOsQsJStJJprdnmwWzPrwt-mtGsAacJy/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
400106,Creating business value and development impact in the WASH sector,https://businessfightspoverty.org/creating-business-value-and-development-impact-in-the-wash-sector,,2015-07-01 00:00:00,Reports,https://drive.google.com/file/d/1iMQpaZkXEz_0qGD40SoY_DkZ47a7Xabx/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
400110,Business and the SDGs: Building Blocks for Success at Scale,https://businessfightspoverty.org/report/business-and-the-sdgs-building-blocks-for-success-at-scale/,,2015-07-01 00:00:00,Reports,https://drive.google.com/file/d/18cEucNZghVVLrqAKwEY8XtEhk4qG_GzT/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
400118,Social Enterprises and Global Corporations Collaborating for Growth with Impact,https://businessfightspoverty.org/social-enterprises-and-global-corporations-collaborating-for-growth-with-impact,,2015-07-01 00:00:00,Reports,https://drive.google.com/file/d/1RFeV08T04UxVaJ_YEl3mKE_a2iU_fexT/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
400129,Business and the United Nations: Working Together Towards the Sustainable Development Goals &#8211; A Framework for Action,https://businessfightspoverty.org/business-and-the-united-nations-working-together-towards-the-sustainable-development-goals-a-framework-for-action,,2015-07-01 00:00:00,Reports,https://drive.google.com/file/d/1eoq57JDIkmw58yo5PtRQn8czDcAKJnBC/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
400134,Tackling Global Challenges: Lessons in System Leadership from the World Economic Forum’s New Vision for Agriculture Initiative,https://businessfightspoverty.org/tackling-global-challenges-lessons-in-system-leadership-from-the-world-economic-forums-new-vision-for-agriculture-initiative,,2016-07-01 00:00:00,Reports,https://drive.google.com/file/d/1WV66d37w1XV5w_8BYssDk_f_OtAmZrX-/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
400163,Growing Together: Strengthening Micro-Enterprises in Value Chains,https://businessfightspoverty.org/growing-together-strengthening-micro-enterprises-in-value-chains,,2016-07-01 00:00:00,Reports,https://drive.google.com/file/d/1JS8UQ5giHiNcoMrD--pPUxIG4E2bWipR/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
400188,How Do We Scale Distribution and Sales Networks That Create Opportunities in Low-Income Markets?,https://businessfightspoverty.org/how-do-we-scale-distribution-and-sales-networks-that-create-opportunities-in-low-income-markets,,2016-07-01 00:00:00,Reports,https://drive.google.com/file/d/1fSAK7HlzkOqyAhQg9m58BV2sZoIuv6SL/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
400191,Harnessing the SDGs to Strengthen Smallholder Supply Chains: A Guide for Business,https://businessfightspoverty.org/harnessing-the-sdgs-to-strengthen-smallholder-supply-chains-a-guide-for-business,,2017-07-01 00:00:00,Reports,https://drive.google.com/file/d/1K22eMWYfZtNLoWZ5G4fmuyt8NIAG67GL/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
400195,Embedding the SDGs into Business,https://businessfightspoverty.org/embedding-the-sdgs-into-business,,2017-07-01 00:00:00,Reports,https://drive.google.com/file/d/17Fuh9YqQWbrZ1gN-iFWbwGp3t8iYnqrt/view?usp=sharing,✅,,,,,,,,uploaded,uploaded,,,
400199,Bridging the Gap: Supporting Youth Employability,https://businessfightspoverty.org/report/bridging-the-gap-supporting-youth-employability/,,2017-07-01 00:00:00,Reports,https://drive.google.com/file/d/1bWZKun0RDvG1bxoZ2BayLSunHWQmqpr7/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
400604,Investing for Impact: How Can We Collaborate to Unlock Investment to Deliver the Sustainable Development Goals in Challenging Places?,https://businessfightspoverty.org/investing-for-impact-how-can-we-collaborate-to-unlock-investment-to-deliver-the-sustainable-development-goals-in-challenging-places,,2017-07-01 00:00:00,Reports,https://drive.google.com/file/d/12GUneuK72VYWsH0K6z0VYyFqgrW1KJA8/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
400606,Enabling Smallholder Farmers to Improve their Incomes,https://businessfightspoverty.org/report/enabling-smallholder-farmers-to-improve-their-incomes/,,2017-07-01 00:00:00,Reports,https://drive.google.com/file/d/13xMzziojqCo2GHEtF3L3_HgpnNHXPwGr/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
401078,Low-Income Families and Private Education,https://businessfightspoverty.org/low-income-families-and-private-education,,2018-07-01 00:00:00,Reports,https://drive.google.com/file/d/1I_e_cMIzx9dVIk9VZrPvIq5-ocBNrb3d/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
401545,Advocating Together for the SDGs,https://businessfightspoverty.org/advocating-together-for-the-sdgs,,2018-07-01 00:00:00,Reports,https://drive.google.com/file/d/15V2yOhECFhUVaTT4IVEMq-Z4QNDFVFLy/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
401949,Resilience Through Refugee-Inclusive Business,https://businessfightspoverty.org/resilience-through-refugee-inclusive-business,,2018-07-01 00:00:00,Reports,https://drive.google.com/file/d/1tUOYOBjtx2nm_zZR3KEzGbpkGubcRLob/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
401951,The Intrapreneurship Ecosystem,https://businessfightspoverty.org/the-intrapreneurship-ecosystem,,2018-07-01 00:00:00,Reports,https://drive.google.com/file/d/1qLyREynzzoUOqoRWQktc6KeqTqHgOviC/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
401953,Building Transformational Partnerships,https://businessfightspoverty.org/building-transformational-partnerships,,2018-07-01 00:00:00,Reports,https://drive.google.com/file/d/10BonVbiQUKN1BMGqYZWotLs4ofYfmRj3/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
401995,The Role of Business in Education and Training for Sustainable Development,https://businessfightspoverty.org/the-role-of-business-in-education-and-training-for-sustainable-development,,2018-07-01 00:00:00,Reports,https://drive.google.com/file/d/10FaHC7F8giZ9ewYiJ-H09NOJeJ-kwHLm/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
402312,Doing Business with Integrity is Good for Business and Society,https://businessfightspoverty.org/doing-business-with-integrity-is-good-for-business-and-society,,2019-07-01 00:00:00,Reports,https://businessfightspoverty.org/wp-content/uploads/2024/10/Business-Integrity-Case-Studies.pdf,✅,,,,,,,,uploaded,uploaded,,,
403007,How Can Business Tackle Gender Based Violence in the World of Work: A Toolkit for Action,https://businessfightspoverty.org/how-can-business-tackle-gender-based-violence-in-the-world-of-work-a-toolkit-for-action,,2019-07-01 00:00:00,Reports,https://drive.google.com/file/d/1uejYlWYmzH10AxMLszKrbr_OlegwhjFD/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
403220,Applying Technology to Help Eradicate Recruitment-Fee Debt Bondage in Global Supply Chains,https://businessfightspoverty.org/applying-technology-to-help-eradicate-recruitment-fee-debt-bondage-in-global-supply-chains,,2019-07-01 00:00:00,Reports,https://drive.google.com/file/d/1V7V4rYojpOLvj9SWpyktUHFB8jOL0WEP/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
403402,Gender Equality is Everyone&#8217;s Business,https://businessfightspoverty.org/gender-equality-is-everyones-business,,2020-07-01 00:00:00,Reports,https://drive.google.com/file/d/1hBlyruUtEIPj350vSLLEMhMka43kx-St/view?usp=drive_link,✅,,,,,,,,uploaded,uploaded,,,
403562,Business Fights Poverty COVID-19 Response Framework,https://businessfightspoverty.org/business-fights-poverty-covid-19-response-framework,,2020-07-01 00:00:00,Reports,https://businessfightspoverty.org/wp-content/uploads/2022/12/BFP-Business-and-COVID-Framework.pdf,✅,,,,,,,,uploaded,uploaded,,,
403743,Business Fights Poverty Magazine,https://businessfightspoverty.org/business-fights-poverty-magazine,,2022-07-01 00:00:00,Reports,https://businessfightspoverty.org/wp-content/uploads/2022/12/Poverty-Tsunami-Magazine.pdf,✅,,,,,,,,uploaded,uploaded,,,
